ticker,code,name,market,sector,primary_source,sources,is_topix500,is_jpx_prime150,is_growth250,is_jpx_startup100,source_detail,source_url
3914.T,3914,JIG-SAW INC.,Growth,,growth250,growth250,0,0,1,0,growth250:constituent,https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_31_mothers.pdf
3915.T,3915,"TerraSky Co.,Ltd",Growth/Prime/Standard,,jpx_startup100,jpx_startup100,0,0,0,1,jpx_startup100:constituent,https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_42_SU100.pdf
3923.T,3923,ラクス,Prime/TOPIX,情報・通信業,topix500,topix500|jpx_prime150|jpx_startup100,1,1,0,1,topix500:TOPIX Mid400|jpx_prime150:constituent|jpx_startup100:constituent,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv|https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_42_SU100.pdf
3941.T,3941,レンゴー,Prime/TOPIX,パルプ・紙,topix500,topix500,1,0,0,0,topix500:TOPIX Mid400,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
3979.T,3979,"ULURU.CO.,LTD.",Growth,,growth250,growth250,0,0,1,0,growth250:constituent,https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_31_mothers.pdf
3984.T,3984,"User Local,Inc.",Growth/Prime/Standard,,jpx_startup100,jpx_startup100,0,0,0,1,jpx_startup100:constituent,https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_42_SU100.pdf
3989.T,3989,SHARINGTECHNOLOGY.INC,Growth,,growth250,growth250|jpx_startup100,0,0,1,1,growth250:constituent|jpx_startup100:constituent,https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_31_mothers.pdf|https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_42_SU100.pdf
3991.T,3991,"Wantedly,Inc",Growth,,growth250,growth250,0,0,1,0,growth250:constituent,https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_31_mothers.pdf
3993.T,3993,PKSHA Technology Inc.,Growth/Prime/Standard,,jpx_startup100,jpx_startup100,0,0,0,1,jpx_startup100:constituent,https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_42_SU100.pdf
3994.T,3994,マネーフォワード,Prime/TOPIX,情報・通信業,topix500,topix500|jpx_startup100,1,0,0,1,topix500:TOPIX Mid400|jpx_startup100:constituent,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_42_SU100.pdf
4004.T,4004,レゾナック・ホールディングス,Prime/TOPIX,化学,topix500,topix500,1,0,0,0,topix500:TOPIX Mid400,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4005.T,4005,住友化学,Prime/TOPIX,化学,topix500,topix500,1,0,0,0,topix500:TOPIX Mid400,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4011.T,4011,"Headwaters Co.,Ltd",Growth,,growth250,growth250,0,0,1,0,growth250:constituent,https://www.jpx.co.jp/english/markets/indices/line-up/files/e_mei2_31_mothers.pdf
