symbol,name,theme,bucket,priority,market,sector,asset_type,is_topix500,is_jpx_prime150,is_growth250,is_jpx_startup100,source_detail,source_url
4061.T,デンカ,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4062.T,イビデン,Japan TOPIX 500,Core,A,Prime/TOPIX,電気機器,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4063.T,信越化学工業,Japan Quality / Prime 150,Core,A,Prime/TOPIX,化学,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4088.T,エア・ウォーター,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4091.T,日本酸素ホールディングス,Japan Quality / Prime 150,Core,A,Prime/TOPIX,化学,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4114.T,日本触媒,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4118.T,カネカ,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4151.T,協和キリン,Japan Quality / Prime 150,Core,A,Prime/TOPIX,医薬品,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
417A.T,ブルーゾーンホールディングス,Japan TOPIX 500,Core,A,Prime/TOPIX,小売業,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4182.T,三菱瓦斯化学,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4183.T,三井化学,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4186.T,東京応化工業,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4188.T,三菱ケミカルグループ,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4202.T,ダイセル,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4203.T,住友ベークライト,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4204.T,積水化学工業,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4205.T,日本ゼオン,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4206.T,アイカ工業,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4208.T,ＵＢＥ,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4272.T,日本化薬,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4307.T,野村総合研究所,Japan Quality / Prime 150,Core,A,Prime/TOPIX,情報・通信業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4324.T,電通グループ,Japan Quality / Prime 150,Core,A,Prime/TOPIX,サービス業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4385.T,メルカリ,Japan Quality / Prime 150,Core,A,Prime/TOPIX,情報・通信業,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
4401.T,ＡＤＥＫＡ,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4403.T,日油,Japan TOPIX 500,Core,A,Prime/TOPIX,化学,equity,true,false,false,false,topix500,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4452.T,花王,Japan Quality / Prime 150,Core,A,Prime/TOPIX,化学,equity,true,true,false,false,topix500|jpx_prime150,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv|https://www.jpx.co.jp/automation/markets/indices/jpx-prime150/files/jpxprime150weight_j.csv
