symbol,local_code,company_name,market,sector_33_code,sector_33_name,sector_17_code,sector_17_name,size_code,size_name,effective_date,source,updated_at
7283.T,7283,愛三工業,プライム（内国株式）,3700,輸送用機器,0006,自動車・輸送機,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7284.T,7284,盟和産業,スタンダード（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7287.T,7287,日本精機,スタンダード（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7291.T,7291,日本プラスト,スタンダード（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7292.T,7292,村上開明堂,スタンダード（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7294.T,7294,ヨロズ,プライム（内国株式）,3700,輸送用機器,0006,自動車・輸送機,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7296.T,7296,エフ・シー・シー,プライム（内国株式）,3700,輸送用機器,0006,自動車・輸送機,0006,TOPIX Small 1,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7297.T,7297,カーメイト,スタンダード（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7299.T,7299,フジオーゼックス,スタンダード（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7305.T,7305,新家工業,スタンダード（内国株式）,3450,鉄鋼,0007,鉄鋼・非鉄,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7309.T,7309,シマノ,プライム（内国株式）,3700,輸送用機器,0006,自動車・輸送機,0002,TOPIX Large70,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7313.T,7313,テイ・エス　テック,プライム（内国株式）,3700,輸送用機器,0006,自動車・輸送機,0004,TOPIX Mid400,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7314.T,7314,小田原機器,スタンダード（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7317.T,7317,松屋アールアンドディ,グロース（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7318.T,7318,セレンディップ・ホールディングス,グロース（内国株式）,3700,輸送用機器,0006,自動車・輸送機,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7320.T,7320,Ｓｏｌｖｖｙ,グロース（内国株式）,7200,その他金融業,0016,金融（除く銀行）,-,-,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
7322.T,7322,三十三フィナンシャルグループ,プライム（内国株式）,7050,銀行業,0015,銀行,0007,TOPIX Small 2,20260630,https://www.jpx.co.jp/markets/statistics-equities/misc/tvdivq0000001vg2-att/data_j.xls,2026-07-10T23:26:35.886407+00:00
